"","strategy_category","min_payoff","max_payoff","mean_payoff","sd_payoff","count"
"1","All Strategies",-2.833333,4,0.389908531702634,0.564210950090534,9221
"2","Only TFT",-0.75,0.9583332875,0.183718011708633,0.346794472901157,139
"3","TFTA",-0.70833325,1,0.0515040976217678,0.491827692979228,2320
